10035	27	&#10035;	✳	Eight Spoked Asterisk	Common	So	(Symbols)	_sym	Dingbats
10151	4	&#10151;	➧	Squat Black Rightwards Arrow	Common	So	(Symbols)	_sym	Dingbats
10267	6	&#10267;	⠛	Braille Pattern Dots-1245	Braille	So	(Braille)	_brl	Braille Patterns
10499	1	&#10499;	⤃	Rightwards Double Arrow With Vertical Stroke	Common	Sm	(Drawing)	_drw	Supplemental Arrows-B
10557	1	&#10557;	⤽	Top Arc Anticlockwise Arrow With Plus	Common	Sm	(Drawing)	_drw	Supplemental Arrows-B
10615	1	&#10615;	⥷	Leftwards Arrow Through Less-than	Common	Sm	(Drawing)	_drw	Supplemental Arrows-B
12297	3235	&#12297;	〉	Right Angle Bracket	Common	Pe	CJK	_cjk	CJK Symbols and Punctuation
12355	35734	&#12355;	ぃ	Hiragana Letter Small I	Hiragana	Lo	Hiragana	_hir	Hiragana
12413	98246	&#12413;	ぽ	Hiragana Letter Po	Hiragana	Lo	Hiragana	_hir	Hiragana
12471	440134	&#12471;	シ	Katakana Letter Si	Katakana	Lo	Katakana	Kana	Katakana
12529	569	&#12529;	ヱ	Katakana Letter We	Katakana	Lo	Katakana	Kana	Katakana
12703	1	&#12703;	㆟	Ideographic Annotation Man Mark	Common	So	(Kanbun)	_kbn	Kanbun
12993	1	&#12993;	㋁	Ideographic Telegraph Symbol For February	Common	So	CJK	_cjk	Enclosed CJK Letters and Months
13051	1	&#13051;	㋻	Circled Katakana Wa	Katakana	So	CJK	_cjk	Enclosed CJK Letters and Months
13109	4	&#13109;	㌵	Square Huran	Katakana	So	CJK	_cjk	CJK Compatibility
13167	1	&#13167;	㍯	Ideographic Telegraph Symbol For Hour Twenty-three	Common	So	CJK	_cjk	CJK Compatibility
13225	1	&#13225;	㎩	Square Pa	Common	So	CJK	_cjk	CJK Compatibility
41123	1	&#41123;	ꂣ	Yi Syllable Hmut	Yi	Lo	Yi	Yiii	Yi Syllables
41645	1	&#41645;	ꊭ	Yi Syllable Zyr	Yi	Lo	Yi	Yiii	Yi Syllables
41935	1	&#41935;	ꏏ	Yi Syllable Ro	Yi	Lo	Yi	Yiii	Yi Syllables
63743	2864	&#63743;		<private Use, Last>			_prv	Private Use Area
64381	152	&#64381;	ﭽ	Arabic Letter Tcheh Medial Form	Arabic	Lo	Arabic	Arab	Arabic Presentation Forms-A
65077	24	&#65077;	︵	Presentation Form For Vertical Left Parenthesis	Common	Ps	CJK	_cjk	CJK Compatibility Forms
65193	546	&#65193;	ﺩ	Arabic Letter Dal Isolated Form	Arabic	Lo	Arabic	Arab	Arabic Presentation Forms-B
65251	868	&#65251;	ﻣ	Arabic Letter Meem Initial Form	Arabic	Lo	Arabic	Arab	Arabic Presentation Forms-B
65309	25898	&#65309;	＝	Fullwidth Equals Sign	Common	Sm	(Miscellaneous)	_msc	Halfwidth and Fullwidth Forms
65367	705118	&#65367;	ｗ	Fullwidth Latin Small Letter W	Latin	L&	(Miscellaneous)	_msc	Halfwidth and Fullwidth Forms
65425	2716	&#65425;	ﾑ	Halfwidth Katakana Letter Mu	Katakana	Lo	(Miscellaneous)	_msc	Halfwidth and Fullwidth Forms
2	1354	&#2;		<control>	Common	Cc	Latin	Latn	Basic Latin
176	40427	&deg;	°	Degree Sign	Common	So	Latin	Latn	Latin-1 Supplement
234	120277	&ecirc;	ê	Latin Small Letter E With Circumflex	Latin	L&	Latin	Latn	Latin-1 Supplement
292	6	&#292;	Ĥ	Latin Capital Letter H With Circumflex	Latin	L&	Latin	Latn	Latin Extended-A
350	1903	&#350;	Ş	Latin Capital Letter S With Cedilla	Latin	L&	Latin	Latn	Latin Extended-A
466	60	&#466;	ǒ	Latin Small Letter O With Caron	Latin	L&	Latin	Latn	Latin Extended-B
524	3	&#524;	Ȍ	Latin Capital Letter O With Double Grave	Latin	L&	Latin	Latn	Latin Extended-B
582	1	&#582;	Ɇ	Latin Capital Letter E With Stroke	Latin	L&	Latin	Latn	Latin Extended-B
640	17	&#640;	ʀ	Latin Letter Small Capital R	Latin	L&	(Phonetic)	_ipa	IPA Extensions
814	304	&#814;	̮	Combining Breve Below	Inherited	Mn	(Diacriticals)	_dia	Combining Diacritical Marks
872	5	&#872;	ͨ	Combining Latin Small Letter C	Inherited	Mn	(Diacriticals)	_dia	Combining Diacritical Marks
1046	2392	&#1046;	Ж	Cyrillic Capital Letter Zhe	Cyrillic	L&	Cyrillic	Cyrl	Cyrillic
1104	9	&#1104;	ѐ	Cyrillic Small Letter Ie With Grave	Cyrillic	L&	Cyrillic	Cyrl	Cyrillic
