

*************************** 1. row ***************************
query_name: Histogram for length(name)
bin     num     bin_pct running_total   running_pct     nz_running_total        nz_running_pct
29      8271    0.5039  1241730 75.6548 179000  30.9378
30      8683    0.5290  1250413 76.1838 187683  32.4385
31      7923    0.4827  1258336 76.6665 195606  33.8079
32      7779    0.4740  1266115 77.1405 203385  35.1524
33      8522    0.5192  1274637 77.6597 211907  36.6253
34      7622    0.4644  1282259 78.1241 219529  37.9427
35      7514    0.4578  1289773 78.5819 227043  39.2413
36      8123    0.4949  1297896 79.0768 235166  40.6453
37      7419    0.4520  1305315 79.5288 242585  41.9276
38      7368    0.4489  1312683 79.9777 249953  43.2010
39      7569    0.4612  1320252 80.4389 257522  44.5092
40      6927    0.4220  1327179 80.8609 264449  45.7065
41      6849    0.4173  1334028 81.2782 271298  46.8902
42      7311    0.4454  1341339 81.7236 278609  48.1538
43      6432    0.3919  1347771 82.1155 285041  49.2655
44      6485    0.3951  1354256 82.5106 291526  50.3864
45      6908    0.4209  1361164 82.9315 298434  51.5803
46      6196    0.3775  1367360 83.3090 304630  52.6512
47      5929    0.3612  1373289 83.6702 310559  53.6760
48      6292    0.3834  1379581 84.0536 316851  54.7635
49      5837    0.3556  1385418 84.4092 322688  55.7723
50      5645    0.3439  1391063 84.7532 328333  56.7480
51      5981    0.3644  1397044 85.1176 334314  57.7817
52      5194    0.3165  1402238 85.4340 339508  58.6794
53      5216    0.3178  1407454 85.7518 344724  59.5809
54      5632    0.3431  1413086 86.0950 350356  60.5544
55      5053    0.3079  1418139 86.4028 355409  61.4277
56      4845    0.2952  1422984 86.6980 360254  62.2651
57      5186    0.3160  1428170 87.0140 365440  63.1614
58      4783    0.2914  1432953 87.3054 370223  63.9881
59      4758    0.2899  1437711 87.5953 374981  64.8105
60      4888    0.2978  1442599 87.8931 379869  65.6553
61      4350    0.2650  1446949 88.1581 384219  66.4071
62      4357    0.2655  1451306 88.4236 388576  67.1602
63      4569    0.2784  1455875 88.7020 393145  67.9499
64      4173    0.2542  1460048 88.9562 397318  68.6711
65      4057    0.2472  1464105 89.2034 401375  69.3723
66      4118    0.2509  1468223 89.4543 405493  70.0841
67      3864    0.2354  1472087 89.6897 409357  70.7519
68      3758    0.2290  1475845 89.9187 413115  71.4014
69      3820    0.2327  1479665 90.1514 416935  72.0616
70      3664    0.2232  1483329 90.3746 420599  72.6949
71      3515    0.2142  1486844 90.5888 424114  73.3024
72      3760    0.2291  1490604 90.8179 427874  73.9523
73      3375    0.2056  1493979 91.0235 431249  74.5356
74      3269    0.1992  1497248 91.2227 434518  75.1006
75      3366    0.2051  1500614 91.4278 437884  75.6824
76      3124    0.1903  1503738 91.6181 441008  76.2223
77      3086    0.1880  1506824 91.8061 444094  76.7557
78      3243    0.1976  1510067 92.0037 447337  77.3162
79      2960    0.1803  1513027 92.1841 450297  77.8278
80      2777    0.1692  1515804 92.3532 453074  78.3078
81      2997    0.1826  1518801 92.5358 456071  78.8258
82      2744    0.1672  1521545 92.7030 458815  79.3000
83      2574    0.1568  1524119 92.8599 461389  79.7449
84      2690    0.1639  1526809 93.0237 464079  80.2099
85      2478    0.1510  1529287 93.1747 466557  80.6381
86      2510    0.1529  1531797 93.3277 469067  81.0720
87      2580    0.1572  1534377 93.4848 471647  81.5179
88      2320    0.1414  1536697 93.6262 473967  81.9189
89      2295    0.1398  1538992 93.7660 476262  82.3155
90      2362    0.1439  1541354 93.9099 478624  82.7238
91      2152    0.1311  1543506 94.0410 480776  83.0957
92      2122    0.1293  1545628 94.1703 482898  83.4625
93      2230    0.1359  1547858 94.3062 485128  83.8479
94      1938    0.1181  1549796 94.4243 487066  84.1829
95      1981    0.1207  1551777 94.5450 489047  84.5252
96      2071    0.1262  1553848 94.6711 491118  84.8832
97      1850    0.1127  1555698 94.7839 492968  85.2029
98      1791    0.1091  1557489 94.8930 494759  85.5125
99      1876    0.1143  1559365 95.0073 496635  85.8367
100     1807    0.1101  1561172 95.1174 498442  86.1490
101     1690    0.1030  1562862 95.2203 500132  86.4411
102     1789    0.1090  1564651 95.3293 501921  86.7503
103     1631    0.0994  1566282 95.4287 503552  87.0322
104     1591    0.0969  1567873 95.5257 505143  87.3072
105     1733    0.1056  1569606 95.6312 506876  87.6067
106     1536    0.0936  1571142 95.7248 508412  87.8722
107     1470    0.0896  1572612 95.8144 509882  88.1263
108     1559    0.0950  1574171 95.9094 511441  88.3957
109     1389    0.0846  1575560 95.9940 512830  88.6358
110     1356    0.0826  1576916 96.0766 514186  88.8702
111     1486    0.0905  1578402 96.1671 515672  89.1270
112     1360    0.0829  1579762 96.2500 517032  89.3621
113     1318    0.0803  1581080 96.3303 518350  89.5899
114     1376    0.0838  1582456 96.4141 519726  89.8277
115     1266    0.0771  1583722 96.4913 520992  90.0465
116     1291    0.0787  1585013 96.5699 522283  90.2696
117     1248    0.0760  1586261 96.6460 523531  90.4853
118     1192    0.0726  1587453 96.7186 524723  90.6914
119     1186    0.0723  1588639 96.7909 525909  90.8964
120     1224    0.0746  1589863 96.8654 527133  91.1079
121     1142    0.0696  1591005 96.9350 528275  91.3053
122     1069    0.0651  1592074 97.0001 529344  91.4900
123     1153    0.0702  1593227 97.0704 530497  91.6893
124     1056    0.0643  1594283 97.1347 531553  91.8718
125     1007    0.0614  1595290 97.1961 532560  92.0459
126     1068    0.0651  1596358 97.2612 533628  92.2305
127     983     0.0599  1597341 97.3210 534611  92.4004
128     1122    0.0684  1598463 97.3894 535733  92.5943
129     984     0.0600  1599447 97.4494 536717  92.7644
130     954     0.0581  1600401 97.5075 537671  92.9293
131     970     0.0591  1601371 97.5666 538641  93.0969
132     1065    0.0649  1602436 97.6315 539706  93.2810
133     947     0.0577  1603383 97.6892 540653  93.4447
134     909     0.0554  1604292 97.7445 541562  93.6018
135     989     0.0603  1605281 97.8048 542551  93.7727
136     996     0.0607  1606277 97.8655 543547  93.9448
137     964     0.0587  1607241 97.9242 544511  94.1115
138     989     0.0603  1608230 97.9845 545500  94.2824
139     932     0.0568  1609162 98.0413 546432  94.4435
140     960     0.0585  1610122 98.0998 547392  94.6094
141     993     0.0605  1611115 98.1602 548385  94.7810
142     895     0.0545  1612010 98.2148 549280  94.9357
143     947     0.0577  1612957 98.2725 550227  95.0994
144     1067    0.0650  1614024 98.3375 551294  95.2838
145     965     0.0588  1614989 98.3963 552259  95.4506
146     911     0.0555  1615900 98.4518 553170  95.6080
147     933     0.0568  1616833 98.5086 554103  95.7693
148     949     0.0578  1617782 98.5664 555052  95.9333
149     1008    0.0614  1618790 98.6279 556060  96.1075
150     1037    0.0632  1619827 98.6910 557097  96.2868
151     995     0.0606  1620822 98.7517 558092  96.4588
152     1146    0.0698  1621968 98.8215 559238  96.6568
153     1251    0.0762  1623219 98.8977 560489  96.8730
154     1241    0.0756  1624460 98.9733 561730  97.0875
155     1283    0.0782  1625743 99.0515 563013  97.3093
156     1468    0.0894  1627211 99.1409 564481  97.5630
157     1489    0.0907  1628700 99.2316 565970  97.8204
158     1644    0.1002  1630344 99.3318 567614  98.1045
159     1883    0.1147  1632227 99.4465 569497  98.4300
160     4770    0.2906  1636997 99.7372 574267  99.2544
161     283     0.0172  1637280 99.7544 574550  99.3033
162     345     0.0210  1637625 99.7754 574895  99.3629
163     194     0.0118  1637819 99.7872 575089  99.3965
164     211     0.0129  1638030 99.8001 575300  99.4329
165     124     0.0076  1638154 99.8077 575424  99.4544
166     82      0.0050  1638236 99.8127 575506  99.4685
167     73      0.0044  1638309 99.8171 575579  99.4811
168     81      0.0049  1638390 99.8220 575660  99.4951
169     32      0.0019  1638422 99.8240 575692  99.5007
170     50      0.0030  1638472 99.8270 575742  99.5093
171     70      0.0043  1638542 99.8313 575812  99.5214
172     51      0.0031  1638593 99.8344 575863  99.5302
173     36      0.0022  1638629 99.8366 575899  99.5365
174     64      0.0039  1638693 99.8405 575963  99.5475
175     23      0.0014  1638716 99.8419 575986  99.5515
176     24      0.0015  1638740 99.8434 576010  99.5556
177     49      0.0030  1638789 99.8463 576059  99.5641
178     28      0.0017  1638817 99.8480 576087  99.5689
179     25      0.0015  1638842 99.8496 576112  99.5733
180     44      0.0027  1638886 99.8523 576156  99.5809
181     17      0.0010  1638903 99.8533 576173  99.5838
182     32      0.0019  1638935 99.8552 576205  99.5893
183     39      0.0024  1638974 99.8576 576244  99.5961
184     24      0.0015  1638998 99.8591 576268  99.6002
185     23      0.0014  1639021 99.8605 576291  99.6042
186     47      0.0029  1639068 99.8633 576338  99.6123
187     20      0.0012  1639088 99.8646 576358  99.6158
188     30      0.0018  1639118 99.8664 576388  99.6210
189     42      0.0026  1639160 99.8689 576430  99.6282
190     18      0.0011  1639178 99.8700 576448  99.6313
191     21      0.0013  1639199 99.8713 576469  99.6350
192     25      0.0015  1639224 99.8728 576494  99.6393
193     20      0.0012  1639244 99.8741 576514  99.6427
194     17      0.0010  1639261 99.8751 576531  99.6457
195     32      0.0019  1639293 99.8770 576563  99.6512
196     17      0.0010  1639310 99.8781 576580  99.6542
197     16      0.0010  1639326 99.8791 576596  99.6569
198     34      0.0021  1639360 99.8811 576630  99.6628
199     19      0.0012  1639379 99.8823 576649  99.6661
200     14      0.0009  1639393 99.8831 576663  99.6685
201     21      0.0013  1639414 99.8844 576684  99.6721
202     18      0.0011  1639432 99.8855 576702  99.6752
203     19      0.0012  1639451 99.8867 576721  99.6785
204     36      0.0022  1639487 99.8889 576757  99.6847
205     15      0.0009  1639502 99.8898 576772  99.6873
206     18      0.0011  1639520 99.8909 576790  99.6904
207     47      0.0029  1639567 99.8937 576837  99.6986
208     13      0.0008  1639580 99.8945 576850  99.7008
209     18      0.0011  1639598 99.8956 576868  99.7039
210     27      0.0016  1639625 99.8973 576895  99.7086
211     18      0.0011  1639643 99.8984 576913  99.7117
212     22      0.0013  1639665 99.8997 576935  99.7155
213     13      0.0008  1639678 99.9005 576948  99.7178
214     20      0.0012  1639698 99.9017 576968  99.7212
215     15      0.0009  1639713 99.9026 576983  99.7238
216     14      0.0009  1639727 99.9035 576997  99.7262
217     7       0.0004  1639734 99.9039 577004  99.7274
218     13      0.0008  1639747 99.9047 577017  99.7297
219     17      0.0010  1639764 99.9057 577034  99.7326
220     13      0.0008  1639777 99.9065 577047  99.7349
221     16      0.0010  1639793 99.9075 577063  99.7376
222     23      0.0014  1639816 99.9089 577086  99.7416
223     11      0.0007  1639827 99.9096 577097  99.7435
224     11      0.0007  1639838 99.9103 577108  99.7454
225     20      0.0012  1639858 99.9115 577128  99.7489
226     22      0.0013  1639880 99.9128 577150  99.7527
227     14      0.0009  1639894 99.9137 577164  99.7551
228     14      0.0009  1639908 99.9145 577178  99.7575
229     13      0.0008  1639921 99.9153 577191  99.7598
230     8       0.0005  1639929 99.9158 577199  99.7611
231     18      0.0011  1639947 99.9169 577217  99.7643
232     15      0.0009  1639962 99.9178 577232  99.7668
233     10      0.0006  1639972 99.9184 577242  99.7686
234     10      0.0006  1639982 99.9190 577252  99.7703
235     9       0.0005  1639991 99.9196 577261  99.7719
236     15      0.0009  1640006 99.9205 577276  99.7745
237     18      0.0011  1640024 99.9216 577294  99.7776
238     10      0.0006  1640034 99.9222 577304  99.7793
239     6       0.0004  1640040 99.9226 577310  99.7803
240     21      0.0013  1640061 99.9238 577331  99.7840
241     8       0.0005  1640069 99.9243 577339  99.7853
242     13      0.0008  1640082 99.9251 577352  99.7876
243     15      0.0009  1640097 99.9260 577367  99.7902
244     12      0.0007  1640109 99.9268 577379  99.7922
245     7       0.0004  1640116 99.9272 577386  99.7935
246     12      0.0007  1640128 99.9279 577398  99.7955
247     10      0.0006  1640138 99.9285 577408  99.7973
248     10      0.0006  1640148 99.9291 577418  99.7990
249     19      0.0012  1640167 99.9303 577437  99.8023
250     10      0.0006  1640177 99.9309 577447  99.8040
251     9       0.0005  1640186 99.9315 577456  99.8056
252     13      0.0008  1640199 99.9322 577469  99.8078
253     10      0.0006  1640209 99.9329 577479  99.8095
254     11      0.0007  1640220 99.9335 577490  99.8114
255     681     0.0415  1640901 99.9750 578171  99.9291


*************************** 1. row ***************************
